judge_number,judge_date,transfer_agency,transfer_date,happened_date,who_report,misinformation_place,misinformation_issue,misinformation_content,penalty_or_not,administrative_fine,reason
臺灣苗栗地方法院簡易庭裁定109年度苗秩字第4號,2020/3/5,桃園市政府警察局大園分局,2019/12/18,2019/12/14,,臉書,政治人物謠言,這是蘇啟誠的訣別書，文官的風骨，最少做到言所當言（這不是假新聞），其中『滿朝盡是血滴子，外行領導專職人』明白的寫外交公職職場內鬥及無奈，但執政的外交部、立院、總統府、由內到外都反咬在野，更無反思，真是無…到極點！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣屏東地方法院裁定109年度屏秩字第4號,2020/3/6,屏東縣政府警察局屏東分局,2020/1/21,2019/11/28,,臉書,批評執政者,今天總統府很熱鬧，新聞沒報性解放教材退出校園，太多媒體不敢報導目前有礙綠選舉新聞,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣基隆地方法院基隆簡易庭裁定109年度基秩字第7號,2020/3/10,基隆市警察局第三分局,2020/1/14,2019/12/23,,臉書,政治人物謠言,韓導沒有經過父母同意，就對嬰孩又親又抱,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣屏東地方法院裁定109年度屏秩字第11號,2020/3/10,屏東縣政府警察局屏東分局,2020/2/18,2019/12/25,,臉書,其他,2019/12/25日高雄車隊在起之過聖誕節,不罰,,警方未證明有散佈謠言的行為
臺灣新北地方法院板橋簡易庭裁定109年度板秩字第128號,2020/3/11,新北市政府警察局金山分局,2020/3/4,2020/1/29,,臉書,武漢肺炎疫情謠言,流感是可以控制的，以死亡人數跟得流感人數來說，流感的致死率是0.00037，武漢肺炎是沒有解藥，致死率3﹪～5﹪，你覺得不嚴重，歡迎你去大陸測試。人溺己溺的精神很好，但世界大同沒有哪一方出的疾病該被拿出來笑話各等語,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣屏東地方法院裁定109年度屏秩字第10號,2020/3/11,屏東縣政府警察局屏東分局,2020/2/13,2019/11/1,,LINE,政治人物謠言,發布林萬億向蔡簡報如后：1.18％在6年內要回歸到目前銀行利息【蔡裁示：提前4年內逐年完成】,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定109年度重秩字第16號,2020/3/13,新北市政府警察局新莊分局,2020/1/6,2019/12/28,,臉書,施政謠言,謝謝蔡皇上能讓小孩可以有吸毒的空間,不罰,,警方未證明有散佈謠言的行為
臺灣臺北地方法院裁定109年度店秩字第42號,2020/3/16,臺北市政府警察局文山第一分局,,2020/2/17,,臉書,武漢肺炎疫情謠言,正在流行的肺炎及流行性感冒不是一般的病症…，用目前的醫學上所研發、所抗菌是很難治療，因為它是源於天地間變化的因果病，假如你用醫學上去治療，會更嚴重而且又冒犯了上天而不可收拾，會產生人類自己殺死自己局勢會全部滅亡。,罰,共20000元,
臺灣桃園地方法院裁定109年度壢秩字第68號,2020/3/17,桃園市政府警察局中壢分局,2020/3/9,2020/1/23,,PTT,武漢肺炎疫情謠言,"消息來源是武漢市內防疫系統內部會議的錄音，已經定明為SARI了，確定是SARS的進化病毒（是否最終定名不知道）致病機理完全相同病毒進入人體後干擾免疫系統，讓免疫系統誤認肺細胞是外來物從而發起進攻。病人是被自己的免疫系統殺死的目前市面上所有的藥物均無效只有採用與SARS相同的方法:用激素壓致免疫系統，但同時，人體會非常虛弱。更嚇人的是，這個病毒比SARS聰明;1.潛伏期更長2.有患者從感染到發病，再到死亡，體溫始終是正常的(*也就是說，發熱不是該病的特徵症狀通過體溫篩查不能確保完全節查,這也是封城的原因)3.傳播速度更快，目前只獲得空氣傳播的證據，但不能明確是否還有其他途徑4.乙酸對病毒有效",不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣花蓮地方法院花蓮簡易庭裁定109年度花秩字第2號,2020/3/17,花蓮縣警察局玉里分局,2020/1/2,,,臉書,施政謠言,民眾今日要出入路不通，騙子治國，昨天蘇撒幣大刺刺約全國媒體擺POS 拍照的…之後秀完了，路又封起來了…真的騙很大,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院簡易庭刑事裁定108年度竹東秩字第12號,2020/3/20,新竹縣政府警察局竹東分局,2019/12/10,2019/11/12,,臉書,施政謠言,當遊民太幸福……公務員竟不知遊民早知如此，何必念書、考試…奉獻一生…。現在台北市政府對於龍山寺遊民，單身每月給1萬8千元低收入戶補助，有配偶給予31000元，民進黨考量物價指數及通貨膨脹，希望再調高到34000元給予。結果年輕時努力讀書考試，在萬人中脫穎而出的軍公教人員，退休後所得33415元比台北市龍山寺遊民領的還要少。這叫我們如何教育下一代，努力讀書.考試.為國家奉獻一生，到老了大家領的都一樣多，甚至未來遊民有可能領比軍公教退休人員還多…，是不是要教育我們的下一代，不用努力盡情的玩樂，將來做遊民就好，反正領的比軍.公.教多。變相買票啊……拜託，請廣傳出去……,管轄錯誤,,移送臺灣桃園地方法院
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第28號,2020/3/20,高雄市政府警察局鳳山分局,2020/2/24,2020/2/3,,臉書,武漢肺炎疫情謠言,建議各位夥伴：公司其他紙類製品，有缺的可以考慮買一些，衛生紙、衛生棉、廚房紙巾，估計都會短缺，因應原料都拿去做口罩了...,罰,10000元,
臺灣臺南地方法院臺南簡易庭裁定109年度南秩字第29號,2020/3/20,臺南市政府警察局第一分局,2020/2/26,2020/2/7,民眾,LINE,武漢肺炎疫情謠言,魏大倫診所今天有一個病患確診武漢肺炎,不罰,,非故意散發傳布虛偽事實
臺灣臺南地方法院臺南簡易庭裁定109年度南秩字第27號,2020/3/20,臺南市政府警察局第一分局,2020/2/21,2020/2/3,,臉書,武漢肺炎疫情謠言,公司其他紙類製品，有缺的可以考慮買一些，衛生紙、衛生棉、廚房紙巾，估計都會短缺，因應原料都拿去做口罩了,罰,10000元,
臺灣臺中地方法院裁定109年度沙秩字第3號,2020/3/23,臺中市政府警察局太平分局,2019/12/29,2019/12/29,,臉書,選務謠言,有消息傳來，今年投票，中選會使用油性印泥，不容易乾，蓋完選票折疊時會染到旁邊，開票時祇要是韓國瑜就是廢票，蔡X文就是有效票，如此做弊太無恥，大家告訴大家，廣傳出去，投票時要注意！稍為吹乾再折疊！,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定109年度沙秩字第2號,2020/3/23,臺中市政府警察局清水分局,2019/12/31,2019/11/10,員警,LINE,政治人物謠言,英紐約的律師執照被取消，連美國都知道小英的博士是假的，以下是被紐約最高法院判決的資訊,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定109年度沙秩字第1號,2020/3/23,臺中市政府警察局第五分局,2019/12/28,2019/12/23,,臉書,施政謠言,民進黨已經通過了『毒品條例』，校園內可以合法擁有50克的毒品，重量超過才會被視同販毒，台灣又增加毒品島的名稱...校園毒品零容忍遭封殺，藍委提嚴刑峻法被綠委攔阻,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院橋頭簡易庭裁定109年度橋秩字第21號,2020/3/23,高雄市政府警察局左營分局,2020/3/3,2020/2/3,,LINE,武漢肺炎疫情謠言,建議各位夥伴：公司其他紙類製品，有缺的可以考慮買一些，衛生紙、衛生棉、廚房紙巾，估計都會短缺，因應原料都拿去做口罩了,不罰,,難認定是故意散播不實事實
臺灣臺南地方法院臺南簡易庭裁定109年度南秩字第31號,2020/3/24,臺南市政府警察局第四分局,2020/3/3,2020/2/7,,LINE,武漢肺炎疫情謠言,南部女性確診案例於成大，此患者症狀出現就診兩次才被確診，第一次誤診到隔離期間已到過多地,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院岡山簡易庭裁定109年度岡秩字第17號,2020/3/25,高雄市政府警察局岡山分局,2020/3/17,2019/12/4,,臉書,攻擊政治人物,槍斃牠，再將其斬首，把頭高掛於中正紀念堂,罰,3000元,
臺灣桃園地方法院刑事裁定109年度秩抗字第3號,2020/3/26,抗告，108 年度壢秩字第134 號,,,,臉書,施政謠言,英國買138 架最新型的F-35戰機才3619億。菜政府卻要花3900億買66架落後20年的F16戰機，原來美國是這樣支持台灣的，到底老美坑我們台灣呢？還是菜政府坑我們老百姓？菜政府害台灣百姓，大家群起抵抗這無能、貪腐、缺德……更多,抗告駁回,,
臺灣桃園地方法院裁定109年度桃秩字第99號,2020/3/27,桃園市政府警察局八德分局,2020/3/23,2020/2/9,,臉書,武漢肺炎疫情謠言,看看人家越南政府，再看看我們台灣的那個#英明的政府#唉～大家都還在排隊買分配口罩…實在有夠+#xx@,罰,8000元,
臺灣桃園地方法院裁定109年度桃秩字第29號,2020/3/30,桃園市政府警察局桃園分局,2020/2/6,2019/12/21,,臉書,批評執政者,這些穢物全部送進火葬場燒掉菜GG和冥進黨也不可放過一齊燒掉做肥料。唉！可憐的老百姓再不覺醒真的無藥可救！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度壢秩字第74號,2020/3/30,桃園市政府警察局龍潭分局,2020/3/20,,證人蔡宛炘,LINE,武漢肺炎疫情謠言,這幾天會下雨，千萬不要被雨淋到，離雨水遠一點！看氣象報告，這次下雨的雲層帶是從中國內路飄過來的，也就是重慶、湖北一帶過來的，雲層可能會夾帶細菌、病毒過來，請小心！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第407號,2020/3/31,新北市政府警察局永和分局,2019/12/12,2019/10/14,員警,LINE,施政謠言,香港友人傳給我的影片，在被綠媒下架前，請用5分鐘時間看完，以私訊或LINE分享出去，且不要上傳臉書，會被封殺！這是蔡政府金援、聲援的暴民活動,不罰,,難認定是故意散播不實事實
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第372號,2020/3/31,新北市政府警察局永和分局,2019/11/20,2019/10/10,,臉書,施政謠言,民進黨用NCC控制各大媒體功夫一流吧！連登革熱疫情消息都不敢播報還幫台南市政府隱匿疫情。要不是正義人士用LINE轉PO我看全國同胞都被蒙騙，真是可惡至極。,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第357號,2020/3/31,新北市政府警察局板橋分局,2019/11/13,2019/10/1,,臉書,施政謠言,警方在總統指示下，刻意在記者會現場桌上放置長短槍及西瓜刀等殺傷力較強武器,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
福建金門地方法院刑事裁定109年度秩抗字第1號,2020/3/31,抗告，109年度城秩字第1號裁定,,,,臉書,武漢肺炎疫情謠言,我剛到台灣，親戚說金門居家隔離100多個...,駁回,,
臺灣橋頭地方法院岡山簡易庭裁定108年度岡秩字第74號,2020/3/31,屏東縣政府警察局,2019/12/20,2019/12/4,,臉書,政治人物謠言,身為高雄市長，連行政區有哪些都背不出來，連高雄舊名『打狗』都講錯，真的是羞辱高雄人！,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定109年度店秩字第45號,2020/3/31,臺北市政府警察局文山第一分局,2020/3/20,2020/2/28,,PTT,武漢肺炎疫情謠言,現在只篩檢有出國史、接觸史的，其他被社區傳染的沒出國接觸等條件不就被放生不給驗，早說政府不管社區傳染的好嗎,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣屏東地方法院裁定109年度潮秩字第5號,2020/4/6,屏東縣政府警察局枋寮分局,2020/2/2,2019/12/26,,臉書,施政謠言,民眾今日要出入草埔隧道路不通騙子治國，昨天蘇撒幣大剌剌約全國媒體擺POSE拍照的拍照攝影的攝影，風風光光通車典禮秀一天，蘇吉普車子開完之後秀完了，路又封起來了，執政真的是有需要這樣玩的嗎。真的騙很大。,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣花蓮地方法院花蓮簡易庭裁定109年度花秩字第15號,2020/4/6,花蓮縣警察局新城分局,,,,臉書,武漢肺炎疫情謠言,議員王世堅前助理小文是我表姐啦昨天夜裡王議員在摩鐵吼同歪表姐講噢現在已經控制不了了啦最多一個禮拜吼臺灣全境要封閉啦圖為台南失控現場,不罰,,難認定是故意散播不實事實
臺灣桃園地方法院裁定109年度桃秩字第63號,2020/4/6,桃園市政府警察局桃園分局,2020/2/24,2019/12/16,員警,臉書,選務謠言,有消息傳來，今年投票，中選會使用油性印泥，不容易乾，蓋完選票折疊時會染到旁邊，開票時祇要是韓國瑜就是廢票，蔡Ｘ文就是有效票，如此做弊太無恥，大家告訴大家，廣傳出去，投票時要注意！稍為吹乾再折疊！,移送駁回,,超過2個月
臺灣臺南地方法院新市簡易庭裁定109年度新秩字第11號,2020/4/6,臺南市政府警察局永康分局,,2020/2/4,,臉書,武漢肺炎疫情謠言,都給當官的了，當官的一人兩盒，醫護現在一天配一個,罰,2000元,
臺灣新竹地方法院簡易庭裁定109年度竹北秩字第2號,2020/4/7,新竹縣政府警察局竹北分局,2019/12/18,2019/12/12,,LINE,施政謠言,本月20日開始紅燈右轉罰5400，3次馬上吊銷駕照…，請看以下重罰項目：有車沒車的人都要看，本月20日開始，再提醒各位注意！！收到後記得轉發給親友們，（交通警察準備向全國違規人徵收年終獎金！）本月20日起，馬上開始罰了不管你是騎機車或者是開汽車的---請注意！！全國（Taiwan）將實施紅燈越線處罰條例，凡是在等待紅燈時超出白色禁止越線者馬上處以900元的罰金。還有紅燈右轉＄5400元（這是目前交通警察的重點工作之一）注意喔！！！本月20日起，沒有車的人，通知一下有車族吧！趕快通知你的親朋友好吧！最好印一張，能提醒自己。1.闖紅燈由0000-0000元，調為0000-0000元。2.超速由0000-0000元，調為6000！+每超速1公里加罰100元！！若限速60，你開80，則需付8000元！,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新竹地方法院簡易庭裁定108年度竹東秩字第11號,2020/4/8,新竹縣政府警察局竹東分局,2019/11/25,2019/11/15,,LINE,施政謠言,交通警察準備向全國違規人徵收年終獎金，除紅燈右轉罰5400元，3次馬上吊銷駕照外；闖紅燈將由0000-0000元漲到0000-0000元，提高1倍......,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度桃秩字第103號,2020/4/8,桃園市政府警察局桃園分局,2020/3/24,2020/2/19,,Instagram,武漢肺炎疫情謠言,研究發現，吸食K它命可治療武漢病毒,罰,10000元,
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第44號,2020/4/9,高雄市政府警察局鳳山分局,2020/3/26,2020/2/23,,臉書,武漢肺炎疫情謠言,…如果超過40幾個案例，總統就要下台，所以一直壓著真實數，其實疫情已經傳播開來了，高雄、臺南等地每天都得運好幾卡車的屍體去臺中統一焚化…,罰,1000元,
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第16號,2020/4/9,高雄市政府警察局鳳山分局,2020/2/3,2020/2/1,,臉書,武漢肺炎疫情謠言,請問一下各位媽咪／如果婆家那邊有人有武漢肺炎／你們還會帶小孩回去嗎？／先生家那邊有兩個／婆婆家那裡有一個／我兒子才11個月／真的不想讓我兒子感冒,不罰,,非故意散發傳布虛偽事實
臺灣橋頭地方法院橋頭簡易庭裁定109年度橋秩字第28號,2020/4/9,高雄市政府警察局仁武分局,2020/3/25,2020/2/7,,臉書,武漢肺炎疫情謠言,我朋友說尿布廠有消息表示因為不織布材料都因為生產口罩大缺，日本已經通知尿布貨況有問題了，藥局的朋友建議可以多買一些尿布，以防萬一，有些人有小小孩可以注意一下,罰,2000元,
臺灣南投地方法院裁定109年度投秩字第14號,2020/4/10,南投縣政府警察局竹山分局,2020/3/5,2020/2/15,,臉書,武漢肺炎疫情謠言,因為半年前跑去武漢找工作，結果被封城困住幾天，拖了兩三天要回臺回不來，結果看到馮一硯大哥的廣告，本來想說身上東西包一包要跑路，想說帶著剩下幾十萬的家當財產，就給他拚了，結果硯哥真的帶領我去他的私人管道偷渡，費用扣掉武漢到海邊的車費還要十五萬，這次真的嚇到了，也答應硯哥從此不再去武漢工作了，如果今天沒有硯哥，我可能回不來了，真的很謝謝硯哥，真的是我的再生父母，讓我不用困在那裡，可以回到臺灣，因此我花這些錢願意幫硯哥宣傳，他真的是很厲害的人，希望困在那裡的台商能在他的協助下偷渡回臺，要找他的人加LINE：ab9143,移送不受理,,避免「一事兩罰」
臺灣高雄地方法院高雄簡易庭裁定109年度雄秩字第112號,2020/4/15,高雄市政府警察局前鎮分局,2020/3/30,2020/2/5,,臉書,選務謠言,⒈中選會為什麼突然增設1500個投票所？‧‧‧⒉已經使用數10年的塑膠製投票箱，在多投票所被更換為臨時性紙製?並在紙製投票箱底撲上一片白色硬紙板！？中選會應該能任至道：在紙板與箱底間會出現一個暗夾層，夾層中可以暗藏近百張選票而不易被察知‧‧‧以中選會主委李進勇曾經多年擔任市長及律師的經驗應該能清楚認知：夾層中可以事先暗藏近百張選票而不易被察知，難道中選會不知道要防弊並避嫌嗎？,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院裁定109年度士秩字第13號,2020/4/15,新北市政府警察局淡水分局,2020/1/6,2019/11/1,,LINE,政治人物謠言,抓到了王立強平時由民進黨眷養在香港，本來要在明年總統大選前幾天才對韓國瑜出奧步抹紅，因為反送中事件外逃到澳洲才曝光,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣花蓮地方法院花蓮簡易庭裁定109年度花秩字第4號,2020/4/15,花蓮縣警察局鳳林分局,2020/1/10,2019/12/20,,臉書,選務謠言,以中央選舉委員會公告封頁並加註「有詭」2 字,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣雲林地方法院刑事裁定109年度六秩字第5號,2020/4/16,雲林縣警察局斗六分局,2020/3/27,2020/1/30,,臉書,武漢肺炎疫情謠言,各位口罩不要買有毒,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣南投地方法院裁定109年度投秩字第18號,2020/4/17,南投縣政府警察局南投分局,2020/4/5,2020/2/6,,臉書,選務謠言,2020台灣大選出現很多不合理的現象，僅先列舉一二：⒈【中選會為什麼突然增設約1500個投開票所？】台灣人口沒有爆增，投開票所卻從一萬五、六千個，增設約1500個，總數成為一萬七千多個？但是增設的地點卻多數不是在人口集中區或增加區！？中選會雖解釋：〈要平均減少各投開票所人數〉，但是有朋友實際調查過：事實並非如此！⒉【已使用數十年的塑膠製投票箱，在很多投開票所被更換為臨時性紙製投票箱？並在紙製投票箱底舖上一片白色硬紙板！？】中選會應該能認識到：在紙板與箱底間會出現一個暗夾層，夾層中可以暗藏近百張選票而不易被察知！數十年來，各投開票所都是使用曾經反覆使用的塑膠製投票箱。因此中選會應存放有近五萬個以上塑膠製投票箱供每年備用。這次只增加1500個投開票所，時間上完全來得及再增製4500個塑膠製投票箱。但這次很多地區的投開票所卻更換為臨時性紙製投票箱！箱底更舖放一片白色硬紙板。中選會也許會解釋：〈為防止箱底不平，易扯破選票〉。但是，以中選會主委李進勇曾經多年擔任市長及律師的經驗，應該能清楚認知：【夾層中可以事先暗藏近百張選票而不易被察知！】，難道中選會不知道必須要防弊並避嫌嗎？其他還出現許多異於常情的不合理現象，在此先不再贅述。,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣南投地方法院裁定109年度投秩字第15號,2020/4/17,南投縣政府警察局竹山分局,2020/3/4,2020/2/16,民眾撥打1922專線檢舉,LINE,武漢肺炎疫情謠言,這次下雨的雲層帶是從中國內陸漂過來的，也就是重慶、湖北一帶過來的，雲層可能會挾帶細菌、病毒過來，請小心！,罰,3000元,
臺灣新北地方法院板橋簡易庭裁定109年度板秩字第185號,2020/4/20,新北市政府警察局三峽分局,2020/4/8,2020/3/17,,LINE,武漢肺炎疫情謠言,「臺灣明天起實施COVID-19新型冠狀病毒假期兩個星期，從2020年3月17日開始，所有上班族、學生（強制性）休假，以免傳播，檢查連結以查看您的縣市是否已列出：http://bit.ly/MandatoryPaidLeave,罰,10000元,
臺灣臺北地方法院裁定109年度店秩字第52號,2020/4/20,臺北市政府警察局文山第二分局,2020/4/9,2020/3/18,,LINE,武漢肺炎疫情謠言,台灣明天起實施COVID-19新型冠狀病毒假期兩個星期，從2020年3月19日開始，所有上班族、學生（強制性）休假，以免傳播，檢查連結以查您的縣市是否已列出：http://bit.ly/MandatoryPaidLeave,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定109年度北秩字第304號,2020/4/20,臺北市政府警察局松山分局,2020/4/13,2020/3/20,,LINE,武漢肺炎疫情謠言,行政院宣布全臺9縣市明天起實施COVID-19新型冠狀病毒假期兩個星期，從2020年3月20日開始，所有上班族、學生強制性休假以免群聚感染…,罰,8000元,
臺灣臺北地方法院裁定109年度北秩字第275號,2020/4/21,臺北市政府警察局中山分局,2020/4/1,2020/2/10,,臉書,武漢肺炎疫情謠言,人民不是應該有知的權利嗎？政府刻意隱瞞許多實情，為什麼不能讓人民知道？臺灣其實確診的病例遠比新聞報出來的還多,不罰,,無足以影響公共安寧
臺灣高雄地方法院高雄簡易庭裁定109年度雄秩字第7號,2020/4/22,屏東縣政府警察局,,2019/12/4,,臉書,攻擊政治人物,別拉著我我去宰了這畜生,罰,3000元,
臺灣桃園地方法院裁定109年度壢秩字第111號,2020/4/24,桃園市政府警察局龍潭分局,2020/4/20,,民眾,臉書,武漢肺炎疫情謠言,都還在推說只是境外移入，結果有差別嗎？政府官員，還在只驗國外不驗國內，當然都是境外，然後國內診所都當流感，被指揮要求一律使用克流感抑症狀，診所醫師護士與藥師才不會被迫隔離,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定109年度壢秩字第102號,2020/4/24,新竹縣政府警察局竹東分局,2019/12/10,2019/11/12,,臉書,施政謠言,當遊民太幸福…公務員竟不知遊民早知如此，何必念書、考試…奉獻一生…。現在台北市政府對於龍山寺遊民，單身每月給1萬8千元低收入戶補助，有配偶給予31000元，民進黨考量物價指數及通貨膨脹，希望再調高到34000元給予。結果年輕時努力讀書考試，在萬人中脫穎而出的軍公教人員，退休後所得33415元比台北市龍山寺遊民領的還要少。這叫我們如何教育下一代，努力讀書.考試.為國家奉獻一生，到老了大家領的都一樣多，甚至未來遊民有可能領比軍公教退休人員還多…，是不是要教育我們的下一代，不用努力盡情的玩樂，將來做遊民就好，反正領的比軍.公.教多。變相買票啊……拜託，請廣傳出去……,罰,4000元,
臺灣臺中地方法院裁定109年度中秩字第71號,2020/4/24,臺中市政府警察局第二分局,2020/4/6,2020/3/17,,臉書,武漢肺炎疫情謠言,臺灣明天起實施COVID-19新型冠狀病毒假期兩星期，從2020年3月17日開始，所有上班族學生（強制性）休假，以免傳播。檢查連結以查看您縣市是否已列出：http://bit.ly/Mandatorypaidleave,罰,6000元,
臺灣新北地方法院三重簡易庭裁定109年度重秩字第110號,2020/4/27,新北市政府警察局蘆洲分局,2020/4/14,2020/2/22,,WeChat,武漢肺炎疫情謠言,K他命可治療武漢肺炎,罰,10000元,
臺灣臺中地方法院裁定109年度豐秩字第20號,2020/4/27,臺中市政府警察局豐原分局,2020/4/21,2020/4/21,,LINE,武漢肺炎疫情謠言,臺灣明天起實施COVID-19新型冠狀病毒假期兩個星期，從2020年3月20日開始，所有上班族學生（強制性）休假以免傳播，檢查連結以查看您的縣市是否已列出：http://bit.ly/MandatoryPaidLeave,罰,5000元,
臺灣臺南地方法院柳營簡易庭裁定109年度營秩字第8號,2020/4/27,臺南市政府警察局新營分局,2020/3/3,2020/2/7,,臉書,武漢肺炎疫情謠言,#爆掛（本院按：應為「卦」之誤寫）麻煩大家分享聽聞醫院口罩庫存統計，發現新北慈濟，個別就高達50萬庫存口罩，遠高於其本身及所有醫院戰備存量，對照第一線醫護口罩全面吃緊真的很離譜，應該呼籲它們捐給政府分配給其他醫護，他們拼命在海外買物資送中國，台灣卻囤積不拿出來#大家說他們這種行為對嗎？#只救外國人不救台灣的醫療第一線，#他們還是人嗎？,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣士林地方法院裁定109年度湖秩字第39號,2020/4/27,臺北市政府警察局南港分局,2020/3/27,2020/2/25,,口述,武漢肺炎疫情謠言,"「負壓病房1,100床現在都爆掉」（下稱系爭一言論）、「署立桃園醫院是否為專責防疫醫院中央不敢說明清楚」",不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院橋頭簡易庭裁定109年度橋秩字第33號,2020/4/29,高雄市政府警察局仁武分局,2020/4/14,2020/3/3,員警,臉書,武漢肺炎疫情謠言,岡山確診新冠狀病毒病例已經轉來這裡!醫院防疫再升級!護理師巡房發藥量血壓一律戴口罩、戴手套、帶防目鏡#沒事不要來#一定要帶醫療口罩再來#勤洗手勿摸眼睛鼻子嘴巴#每次住院什麼不可思議的事都會讓我遇上是幸運還是倒楣阿」,不罰,,難認定是故意散播不實事實
臺灣宜蘭地方法院簡易庭裁定109年度秩字第17號,2020/4/29,宜蘭縣政府警察局宜蘭分局,2020/4/10,2020/3/19,,口述,武漢肺炎疫情謠言,我昨天從日本回來云云，致使該營業大客車隨即返回駐地進行全車消毒工作，並進行車上其餘乘客退換票事宜,罰,20000元,
臺灣臺中地方法院裁定109年度中秩字第24號,2020/4/29,桃園市政府警察局蘆竹分局,2019/12/31,2019/12/24,員警,臉書,施政謠言,【最新！民進黨已經通過了毒品條例了】家長們，你還要忍受嗎！校園內可以擁有50包的毒品，才被視同販毒！台灣除了是（同性戀島）（愛滋病島）現在又增加了一個（毒品島）了，校園毒品零容忍遭封殺，藍委提嚴刑竣法被綠委阻攔。,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣苗栗地方法院簡易庭裁定109年度苗秩字第9號,2020/4/30,苗栗縣警察局苗栗分局,2020/4/21,2020/3/17,,LINE,武漢肺炎疫情謠言,臺灣明天起實施COVID-19新型冠狀病毒假期兩個星期，從2020年3月18日開始，所有上班族學生（強制性）休假以免傳播，檢查連結以查看您的縣市是否已列出：http://bit.ly/MandatoryPaidLeave,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣高雄地方法院鳳山簡易庭裁定109年度鳳秩字第53號,2020/4/30,屏東縣政府警察局枋寮分局,2020/2/3,2019/12/26,,臉書,施政謠言,「草埔隧道不通、騙子治國」、「昨天蘇撒幣大剌剌約全國媒體擺POS拍照的拍照攝影的攝影，風風光光通車典禮秀一天，蘇吉普車子開完之後秀完了，路又封起來了～～執政真的是有需要這樣玩的嗎？」,罰,2000元,
臺灣橋頭地方法院橋頭簡易庭裁定109年度橋秩字第34號,2020/4/30,高雄市政府警察局仁武分局,2020/4/16,2020/3/1,,臉書,武漢肺炎疫情謠言,哈！台灣媒體沒有敢報道，巴拉圭國內媒體報道出來了。媽的，台灣自己都不夠用，人民每個星期排數小時的隊，還冒著風雨只能買三片口罩，記住不像新加坡和越南一樣免費獲得口罩哦！蔡政府好大方，偷偷捐給巴拉圭口罩，搞得像賊一樣。,罰,2000元,
